epoch,class_loss,mmd_penalty,photo_f1,art_f1,cartoon_f1,mean_f1,worst_f1
1,0.8878830725120174,0.0,92.61403046182497,85.93264988442698,89.50258290893106,89.34975441839434,85.93264988442698
2,0.26522223280472124,0.0,96.1165969109967,86.66386624055671,92.81935547445751,91.8666062086703,86.66386624055671
3,0.17485001277274045,0.0,97.14189429240832,90.01259620353804,94.41527831705028,93.85658960433221,90.01259620353804
4,0.1187677610044678,0.0,95.13847466496429,88.76558630406015,94.72444828134472,92.87616975012305,88.76558630406015
5,0.09596371764126115,0.0,95.88130286964788,90.20097308791816,92.9447831190118,93.00901969219261,90.20097308791816
6,0.06221894322572133,0.0,96.40082410391784,91.38886666314423,96.2606833047339,94.683458023932,91.38886666314423
7,0.04751799446799291,0.0,97.21690291991982,89.55587508842073,95.05869793237335,93.94382531357128,89.55587508842073
8,0.038592545236520566,0.0,96.84267745865311,89.90928684548562,96.15103676691446,94.30100035701774,89.90928684548562
9,0.029911291093513783,0.0,97.21310788245468,93.26578404898555,95.41179630718742,95.29689607954253,93.26578404898555
10,0.023828707587642547,0.0,97.48972328292554,91.707778578629,96.48845225635651,95.228651372637,91.707778578629
11,0.02319916267220118,0.0,96.85804118953965,89.66682823037925,95.64040684688932,94.05509208893608,89.66682823037925
12,0.017915294649682414,0.0,96.88330644997787,93.60323358006349,95.60111626658995,95.36255209887709,93.60323358006349
13,0.015191057231650354,0.0,96.29478386154716,91.06976807745501,95.62209727789222,94.32888307229814,91.06976807745501
14,0.012111595376162356,0.0,94.99269602949481,89.24965817970204,95.4154721833113,93.21927546416937,89.24965817970204
15,0.01365288565141541,0.0,96.59358931317709,90.23222183325518,95.93564199678114,94.25381771440448,90.23222183325518
16,0.006456847432961003,0.0,97.10089433123977,90.60133364244513,95.86717307582387,94.52313368316959,90.60133364244513
17,0.008124711032851492,0.0,95.08537913701808,89.30486948090541,95.11306177762037,93.16777013184794,89.30486948090541
